OrderID,Product,Category,Region,Sales,Quantity,Discount,OrderDate,Price,user_id,product_id,purchase_amount,customer_id,customer_name,sales,stock_price,temperature_C,text_column
31,Tablet,Accessories,East,1021.18,1,0.08,31-01-2024,1021.18,1,1059,390.59,31,Customer_31,1021.18,320.46,31.5,TypeD
32,Monitor,Office Supplies,South,1415.63,8,0.07,01-02-2024,176.95375,40,1023,42.03,4,Customer_4,1415.63,275.27,25.5,TypeD
33,Monitor,Electronics,East,611.88,7,0.29,02-02-2024,87.41142857,64,1049,248.91,44,Customer_44,611.88,435.67,-4.7,TypeC
34,Laptop,Accessories,North,563.84,2,0.12,03-02-2024,281.92,22,1048,26.47,23,Customer_23,563.84,164.27,31.9,TypeA
35,Tablet,Electronics,North,419.75,8,0.27,04-02-2024,52.46875,60,1050,40.7,2,Customer_2,419.75,109.99,23.6,TypeA
36,Printer,Electronics,South,515.65,1,0.19,05-02-2024,515.65,64,1095,454.15,22,Customer_22,515.65,279.62,24.9,TypeB
37,Tablet,Electronics,East,1160.39,9,0.24,06-02-2024,128.9322222,93,1035,78.23,37,Customer_37,1160.39,194.99,8.1,TypeC
38,Printer,Electronics,East,867.29,9,0.15,07-02-2024,96.36555556,72,1097,270.89,8,Customer_8,867.29,119.85,34,TypeB
39,Laptop,Office Supplies,South,223.3,2,0.17,08-02-2024,111.65,11,1099,211.44,7,Customer_7,223.3,389.84,26.3,TypeD
40,Smartphone,Electronics,East,582.44,7,0.15,09-02-2024,83.20571429,14,1065,180.2,14,Customer_14,582.44,144.64,-4.4,TypeA
41,Monitor,Electronics,East,569.06,3,0.06,10-02-2024,189.6866667,60,1078,450.92,3,Customer_3,569.06,343.33,10.4,TypeC
42,Laptop,Electronics,North,1422.98,7,0.22,11-02-2024,203.2828571,30,1033,20.69,50,Customer_50,1422.98,212.42,34.3,TypeB
43,Monitor,Office Supplies,East,1453.31,9,0.08,12-02-2024,161.4788889,35,1035,335.26,16,Customer_16,1453.31,169.4,-7.6,TypeB
44,Smartphone,Electronics,East,381.37,4,0.01,13-02-2024,95.3425,85,1005,482.06,19,Customer_19,381.37,251.9,38.1,TypeB
45,Smartphone,Electronics,South,1995.71,1,0.19,14-02-2024,1995.71,37,1038,284.48,18,Customer_18,1995.71,420.58,24,TypeA
46,Laptop,Office Supplies,South,606.88,2,0.05,15-02-2024,303.44,5,1041,469.04,16,Customer_16,606.88,256.84,21.6,TypeA
47,Smartphone,Office Supplies,West,1955.57,1,0.28,16-02-2024,1955.57,83,1057,35.61,8,Customer_8,1955.57,400.31,3.5,TypeA
48,Printer,Office Supplies,North,880.97,5,0.29,17-02-2024,176.194,78,1011,215.21,33,Customer_33,880.97,150.19,2.4,TypeC
49,Smartphone,Electronics,East,162.8,5,0.27,18-02-2024,32.56,26,1002,137.48,49,Customer_49,162.8,409.11,37.1,TypeA
50,Monitor,Office Supplies,East,755.64,7,0.11,19-02-2024,107.9485714,62,1017,368.1,12,Customer_12,755.64,194.77,4.9,TypeC
51,Monitor,Office Supplies,East,1801.95,1,0.1,01-01-2024,1801.95,4,1039,490.84,11,Customer_11,1801.95,370.96,28.8,TypeB
52,Printer,Office Supplies,North,1003.2,3,0.1,02-01-2024,334.4,89,1020,135.7,5,Customer_5,1003.2,326.31,9.7,TypeB
53,Tablet,Electronics,East,1170.22,2,0.22,03-01-2024,585.11,42,1014,330.55,27,Customer_27,1170.22,471.66,-3,TypeD
54,Printer,Office Supplies,North,1421.48,5,0.27,04-01-2024,284.296,89,1096,107.07,12,Customer_12,1421.48,254.93,-9.5,TypeA
55,Printer,Office Supplies,South,364.73,6,0.27,05-01-2024,60.78833333,18,1098,287.01,17,Customer_17,364.73,126.47,17.2,TypeB
56,Smartphone,Accessories,East,1248.39,7,0.23,06-01-2024,178.3414286,40,1025,237.33,6,Customer_6,1248.39,107.66,38.8,TypeA
57,Tablet,Electronics,South,1125.7,4,0.19,07-01-2024,281.425,72,1007,486.28,33,Customer_33,1125.7,430.74,8.5,TypeC
58,Tablet,Accessories,North,485.82,7,0.03,08-01-2024,69.40285714,39,1099,308.18,5,Customer_5,485.82,309.89,7.9,TypeB
59,Tablet,Accessories,West,1891.42,8,0.05,09-01-2024,236.4275,14,1093,181.26,28,Customer_28,1891.42,410.1,7.2,TypeA
60,Printer,Accessories,East,1237.84,1,0.27,10-01-2024,,32,1086,65.91,14,Customer_14,1237.84,193.77,16,TypeB
61,Monitor,Accessories,North,1420.09,6,0.18,11-01-2024,236.6816667,51,1041,84.11,5,Customer_5,1420.09,238.03,12,TypeB
62,Tablet,Accessories,West,1772.89,8,0,12-01-2024,221.61125,38,1043,120.41,33,Customer_33,1772.89,112.04,34,TypeA
63,Printer,Accessories,West,1286.27,5,0.03,13-01-2024,257.254,97,1013,132.97,50,Customer_50,1286.27,484.6,15.3,TypeB
64,Smartphone,Accessories,South,661.7,4,0.2,14-01-2024,165.425,23,1077,426.8,48,Customer_48,661.7,367.15,15.4,TypeB
65,Monitor,Electronics,North,300.44,2,0,15-01-2024,150.22,63,1001,285,41,Customer_41,300.44,473.28,-3.1,TypeB
66,Smartphone,Office Supplies,West,967.42,6,0.05,16-01-2024,161.2366667,15,1036,266.46,19,Customer_19,967.42,206.2,39.1,TypeB
67,Monitor,Accessories,East,515.04,6,0.16,17-01-2024,85.84,97,1068,66.24,22,Customer_22,515.04,344.59,2.5,TypeC
68,Printer,Accessories,East,891.37,1,0.21,18-01-2024,891.37,25,1037,431.47,5,Customer_5,891.37,371.4,-6.3,TypeB
69,Laptop,Accessories,South,1778.23,9,0.2,19-01-2024,197.5811111,17,1040,364.18,2,Customer_2,1778.23,227.02,23.2,TypeD
70,Monitor,Accessories,West,716.26,6,0.07,20-01-2024,119.3766667,97,1061,43.16,30,Customer_30,716.26,439.24,19.8,TypeB
71,Smartphone,Accessories,North,331.97,3,0.21,21-01-2024,110.6566667,66,1059,356.84,47,Customer_47,331.97,478.86,10.8,TypeA
72,Printer,Accessories,East,776.97,4,0.07,22-01-2024,194.2425,78,1013,276.33,39,Customer_39,776.97,453.94,11.1,TypeD
73,Monitor,Office Supplies,West,1822.97,4,0.1,23-01-2024,455.7425,53,1088,50.05,4,Customer_4,1822.97,395.63,29.3,TypeC
74,Laptop,Office Supplies,West,617.05,3,0.22,24-01-2024,205.6833333,51,1083,234.57,33,Customer_33,617.05,210.99,-0.2,TypeD
75,Laptop,Accessories,South,1330.61,3,0.19,25-01-2024,443.5366667,39,1001,247.5,13,Customer_13,1330.61,212.65,31,TypeD
76,Tablet,Office Supplies,East,100.99,,0.25,26-01-2024,33.66333333,51,1069,91.23,20,Customer_20,100.99,485.34,22.4,TypeD
77,Tablet,Electronics,East,769.88,4,0.2,27-01-2024,,70,1016,473.39,7,Customer_7,769.88,104.11,10.9,TypeA
78,Smartphone,Accessories,North,679.08,7,0.17,28-01-2024,97.01142857,6,1088,426.49,15,Customer_15,679.08,386.42,12.9,TypeA
79,Monitor,Electronics,East,412.85,4,0.03,29-01-2024,103.2125,67,1027,337.82,23,Customer_23,412.85,382.5,2.8,TypeA
80,Monitor,Electronics,North,1114.77,9,0.11,30-01-2024,123.8633333,7,1065,236.52,14,Customer_14,1114.77,349.08,27.6,TypeC
81,Tablet,Accessories,East,1021.18,1,0.08,31-01-2024,1021.18,51,1034,211.77,23,Customer_23,1021.18,496.04,15.6,TypeA
82,Monitor,Office Supplies,South,1415.63,8,0.07,01-02-2024,176.95375,72,1004,328.98,19,Customer_19,1415.63,224.75,6,TypeA
83,Monitor,Electronics,East,611.88,7,0.29,02-02-2024,87.41142857,42,1064,277.26,29,Customer_29,611.88,235.99,19.8,TypeD
84,Laptop,Accessories,North,563.84,2,0.12,03-02-2024,281.92,64,1039,40.51,20,Customer_20,563.84,131.58,39.8,TypeA
85,Tablet,Electronics,North,419.75,8,0.27,04-02-2024,52.46875,15,1075,261.13,29,Customer_29,419.75,277.12,11.8,TypeB
86,Printer,Electronics,South,515.65,1,0.19,05-02-2024,515.65,29,1055,405.14,24,Customer_24,515.65,204.42,36,TypeA
87,Tablet,Electronics,East,1160.39,9,0.24,06-02-2024,128.9322222,33,1035,235.03,18,Customer_18,1160.39,237.35,7.3,TypeC
88,Printer,Electronics,East,867.29,9,0.15,07-02-2024,96.36555556,94,1044,35.46,10,Customer_10,867.29,433.83,-7.3,TypeC
89,Laptop,Office Supplies,South,223.3,2,0.17,08-02-2024,111.65,27,1022,395.28,41,Customer_41,223.3,474.19,0.2,TypeB
90,Smartphone,Electronics,East,582.44,7,0.15,09-02-2024,83.20571429,36,1046,108.67,8,Customer_8,582.44,174.29,10.9,TypeC
91,Monitor,Electronics,East,569.06,3,0.06,10-02-2024,189.6866667,29,1030,136.72,26,Customer_26,569.06,249,1,TypeC
92,Laptop,Electronics,North,1422.98,7,0.22,11-02-2024,203.2828571,38,1010,90.71,29,Customer_29,1422.98,471.45,-10,TypeD
93,Monitor,Office Supplies,East,1453.31,9,0.08,12-02-2024,161.4788889,57,1009,171.81,10,Customer_10,1453.31,124.72,35.8,TypeB
94,Smartphone,Electronics,East,381.37,4,0.01,13-02-2024,95.3425,97,1066,380.81,17,Customer_17,381.37,136.94,32.2,TypeD
95,Smartphone,Electronics,South,1995.71,1,0.19,14-02-2024,1995.71,27,1013,264.5,2,Customer_2,1995.71,165.12,27.1,TypeD
96,Laptop,Office Supplies,South,606.88,2,0.05,15-02-2024,303.44,55,1079,110.39,6,Customer_6,606.88,338.09,-1.6,TypeA
97,Smartphone,Office Supplies,West,1955.57,1,0.28,16-02-2024,,33,1073,440.14,5,Customer_5,1955.57,160.19,-4,TypeB
98,Printer,Office Supplies,North,880.97,,0.29,17-02-2024,176.194,68,1092,441,28,Customer_28,880.97,487.23,-6.6,TypeA
99,Smartphone,Electronics,East,162.8,5,0.27,18-02-2024,32.56,86,1009,436.58,41,Customer_41,162.8,278.69,26.2,TypeA
100,Monitor,Office Supplies,East,755.64,7,0.11,19-02-2024,107.9485714,66,1075,127.01,5,Customer_5,755.64,300.61,36.4,TypeD
101,Monitor,Office Supplies,East,1801.95,1,0.1,01-01-2024,1801.95,10,1093,231.11,18,Customer_18,1801.95,198.66,11.5,TypeC
102,Printer,Office Supplies,North,1003.2,3,0.1,02-01-2024,,5,1000,492.64,26,Customer_26,1003.2,288.38,-4,TypeB
103,Tablet,Electronics,East,1170.22,2,0.22,03-01-2024,585.11,74,1004,388.29,20,Customer_20,1170.22,364.77,15.6,TypeC
104,Printer,Office Supplies,North,1421.48,5,0.27,04-01-2024,284.296,97,1019,23.31,41,Customer_41,1421.48,400.47,7.4,TypeD
105,Printer,Office Supplies,South,364.73,6,0.27,05-01-2024,60.78833333,38,1007,41.95,49,Customer_49,364.73,401.55,8.7,TypeD
106,Smartphone,Accessories,East,1248.39,7,0.23,06-01-2024,178.3414286,13,1042,237.33,27,Customer_27,1248.39,331.16,21.1,TypeD
107,Tablet,Electronics,South,1125.7,4,0.19,07-01-2024,281.425,31,1075,455.52,49,Customer_49,1125.7,461.74,25.9,TypeD
108,Tablet,Accessories,North,485.82,7,0.03,08-01-2024,69.40285714,47,1000,273.96,12,Customer_12,485.82,426.96,-4.5,TypeD
109,Tablet,Accessories,West,1891.42,8,0.05,09-01-2024,236.4275,100,1056,253.93,7,Customer_7,1891.42,402.82,-8.2,TypeD
110,Printer,Accessories,East,1237.84,1,0.27,10-01-2024,1237.84,88,1063,61.68,3,Customer_3,1237.84,122.24,39.7,TypeC
111,Monitor,Accessories,North,1420.09,6,0.18,11-01-2024,236.6816667,52,1083,331.82,10,Customer_10,1420.09,102.75,1.6,TypeA
112,Tablet,Accessories,West,1772.89,8,0,12-01-2024,221.61125,56,1027,412.83,34,Customer_34,1772.89,184.98,-7.3,TypeC
113,Printer,Accessories,West,1286.27,5,0.03,13-01-2024,257.254,15,1036,196.41,25,Customer_25,1286.27,365.41,-0.5,TypeB
114,Smartphone,Accessories,South,661.7,4,0.2,14-01-2024,165.425,29,1046,390.05,35,Customer_35,661.7,264.48,-8.1,TypeC
115,Monitor,Electronics,North,300.44,2,0,15-01-2024,150.22,8,1075,482.59,16,Customer_16,300.44,260.96,9.6,TypeD
116,Smartphone,Office Supplies,West,967.42,6,0.05,16-01-2024,161.2366667,5,1036,109.85,2,Customer_2,967.42,453.83,30.1,TypeC
117,Monitor,Accessories,East,515.04,6,0.16,17-01-2024,85.84,29,1048,266.43,24,Customer_24,515.04,458.23,7.1,TypeA
118,Printer,Accessories,East,891.37,1,0.21,18-01-2024,891.37,47,1043,150.7,10,Customer_10,891.37,463.67,12.2,TypeB
119,Laptop,Accessories,South,1778.23,9,0.2,19-01-2024,197.5811111,68,1055,398.5,38,Customer_38,1778.23,225.55,23.8,TypeC
120,Monitor,Accessories,West,716.26,6,0.07,20-01-2024,119.3766667,76,1027,293.02,22,Customer_22,716.26,376.42,15.4,TypeA
121,Smartphone,Accessories,North,331.97,3,0.21,21-01-2024,110.6566667,45,1078,320.95,26,Customer_26,331.97,208.65,33.1,TypeC
122,Printer,Accessories,East,776.97,4,0.07,22-01-2024,194.2425,2,1005,400.98,43,Customer_43,776.97,176.24,33.3,TypeB
123,Monitor,Office Supplies,West,1822.97,4,0.1,23-01-2024,455.7425,27,1060,204.03,39,Customer_39,1822.97,173.85,-9.5,TypeC
124,Laptop,Office Supplies,West,617.05,3,0.22,24-01-2024,205.6833333,95,1019,458.39,27,Customer_27,617.05,236.84,28.9,TypeD
125,Laptop,Accessories,South,1330.61,3,0.19,25-01-2024,443.5366667,36,1077,271.18,29,Customer_29,1330.61,271.98,13,TypeC
126,Tablet,Office Supplies,East,100.99,3,0.25,26-01-2024,33.66333333,36,1001,87.4,47,Customer_47,100.99,432.38,39.4,TypeA
127,Tablet,Electronics,East,769.88,4,0.2,27-01-2024,192.47,26,1072,350.99,38,Customer_38,769.88,147.96,14.2,TypeC
128,Smartphone,Accessories,North,679.08,7,0.17,28-01-2024,97.01142857,43,1036,398.7,20,Customer_20,679.08,393.97,39.3,TypeA
129,Monitor,Electronics,East,412.85,4,0.03,29-01-2024,103.2125,27,1019,165.21,27,Customer_27,412.85,312.58,27.7,TypeB
130,Monitor,Electronics,North,1114.77,9,0.11,30-01-2024,123.8633333,69,1025,430.02,41,Customer_41,1114.77,215.18,2.4,TypeC
131,Tablet,Accessories,East,1021.18,1,0.08,31-01-2024,1021.18,20,1028,454.01,20,Customer_20,1021.18,297.13,16.9,TypeB
132,Monitor,Office Supplies,South,1415.63,8,0.07,01-02-2024,176.95375,11,1000,145.68,44,Customer_44,1415.63,219.98,39.6,TypeB
133,Monitor,Electronics,East,611.88,7,0.29,02-02-2024,87.41142857,74,1034,491.93,19,Customer_19,611.88,338.43,32.9,TypeC
134,Laptop,Accessories,North,563.84,2,0.12,03-02-2024,281.92,38,1069,78.95,20,Customer_20,563.84,273.54,-5.1,TypeA
135,Tablet,Electronics,North,419.75,8,0.27,04-02-2024,52.46875,6,1058,108.99,35,Customer_35,419.75,165.76,25.3,TypeB
136,Printer,Electronics,South,515.65,1,0.19,05-02-2024,515.65,72,1068,100.27,47,Customer_47,515.65,146.63,7.3,TypeB
137,Tablet,Electronics,East,1160.39,9,0.24,06-02-2024,,23,1032,448.05,2,Customer_2,1160.39,318.68,-9.7,TypeC
138,Printer,Electronics,East,867.29,9,0.15,07-02-2024,96.36555556,47,1050,330.6,30,Customer_30,867.29,460.97,10.2,TypeC
139,Laptop,Office Supplies,South,223.3,2,0.17,08-02-2024,111.65,90,1077,84.53,34,Customer_34,223.3,237.58,1.7,TypeC
140,Smartphone,Electronics,East,582.44,7,0.15,09-02-2024,,46,1011,225.76,22,Customer_22,582.44,393.2,30.9,TypeC
141,Monitor,Electronics,East,569.06,3,0.06,10-02-2024,189.6866667,12,1019,311.5,3,Customer_3,569.06,363.46,6.9,TypeC
142,Laptop,Electronics,North,1422.98,7,0.22,11-02-2024,203.2828571,90,1052,50.9,6,Customer_6,1422.98,472.62,31.4,TypeD
143,Monitor,Office Supplies,East,1453.31,9,0.08,12-02-2024,161.4788889,13,1087,442.38,15,Customer_15,1453.31,428.39,-10,TypeC
144,Smartphone,Electronics,East,381.37,4,0.01,13-02-2024,95.3425,62,1042,403.77,27,Customer_27,381.37,326.64,5.4,TypeA
145,Smartphone,Electronics,South,1995.71,1,0.19,14-02-2024,1995.71,82,1097,257.55,10,Customer_10,1995.71,362.81,2.1,TypeB
146,Laptop,Office Supplies,South,606.88,2,0.05,15-02-2024,303.44,89,1088,483.89,9,Customer_9,606.88,459.35,1.7,TypeA
147,Smartphone,Office Supplies,West,1955.57,1,0.28,16-02-2024,1955.57,97,1049,214.7,33,Customer_33,1955.57,259.81,-6.6,TypeA
148,Printer,Office Supplies,North,880.97,5,0.29,17-02-2024,176.194,60,1028,492.21,32,Customer_32,880.97,230.72,-0.6,TypeD
149,Smartphone,Electronics,East,162.8,5,0.27,18-02-2024,32.56,43,1056,337.28,48,Customer_48,162.8,104.32,17.8,TypeC
150,Monitor,Office Supplies,East,755.64,7,0.11,19-02-2024,107.9485714,76,1038,320.99,6,Customer_6,755.64,430.62,4.6,TypeB
151,Monitor,Office Supplies,East,1801.95,1,0.1,01-01-2024,1801.95,100,1094,91.32,41,Customer_41,1801.95,420.39,10.9,TypeA
152,Printer,Office Supplies,North,1003.2,3,0.1,02-01-2024,334.4,68,1055,442.14,36,Customer_36,1003.2,141.78,8.8,TypeC
153,Tablet,Electronics,East,1170.22,2,0.22,03-01-2024,585.11,5,1042,219.47,2,Customer_2,1170.22,330.74,33.8,TypeC
154,Printer,Office Supplies,North,1421.48,5,0.27,04-01-2024,284.296,37,1049,89.49,29,Customer_29,1421.48,285.59,35.3,TypeD
155,Printer,Office Supplies,South,364.73,6,0.27,05-01-2024,60.78833333,72,1022,16.18,4,Customer_4,364.73,147.48,14.6,TypeD
156,Smartphone,Accessories,East,1248.39,7,0.23,06-01-2024,178.3414286,92,1043,284.28,1,Customer_1,1248.39,492.23,6.5,TypeD
157,Tablet,Electronics,South,1125.7,4,0.19,07-01-2024,281.425,31,1037,268.43,19,Customer_19,1125.7,185.88,-4.7,TypeB
158,Tablet,Accessories,North,485.82,7,0.03,08-01-2024,69.40285714,9,1083,362.48,26,Customer_26,485.82,126.89,37.7,TypeA
159,Tablet,Accessories,West,1891.42,8,0.05,09-01-2024,236.4275,51,1022,446.23,25,Customer_25,1891.42,337.94,-7,TypeD
160,Printer,Accessories,East,1237.84,1,0.27,10-01-2024,1237.84,29,1044,48.91,10,Customer_10,1237.84,395.55,4.9,TypeD
161,Monitor,Accessories,North,1420.09,6,0.18,11-01-2024,236.6816667,78,1051,368.43,15,Customer_15,1420.09,112.98,4.9,TypeD
162,Tablet,Accessories,West,1772.89,8,0,12-01-2024,221.61125,40,1079,101.83,22,Customer_22,1772.89,363.49,6,TypeA
163,Printer,Accessories,West,1286.27,5,0.03,13-01-2024,257.254,41,1049,430.51,48,Customer_48,1286.27,312.92,-1.8,TypeA
164,Smartphone,Accessories,South,661.7,4,0.2,14-01-2024,165.425,86,1007,411.34,21,Customer_21,661.7,141.31,29.2,TypeD
165,Monitor,Electronics,North,300.44,2,0,15-01-2024,150.22,11,1084,274.99,22,Customer_22,300.44,169.01,-3.9,TypeD
166,Smartphone,Office Supplies,West,967.42,6,0.05,16-01-2024,161.2366667,23,1000,358.02,36,Customer_36,967.42,327.19,21.7,TypeC
167,Monitor,Accessories,East,515.04,6,0.16,17-01-2024,85.84,1,1007,164.03,34,Customer_34,515.04,218.54,-3.8,TypeD
168,Printer,Accessories,East,891.37,1,0.21,18-01-2024,891.37,46,1028,240.87,30,Customer_30,891.37,475.33,-6.5,TypeB
169,Laptop,Accessories,South,1778.23,,0.2,19-01-2024,197.5811111,21,1095,412.6,25,Customer_25,1778.23,427.5,35.5,TypeB
170,Monitor,Accessories,West,716.26,6,0.07,20-01-2024,119.3766667,90,1004,235.04,45,Customer_45,716.26,493.43,-0.5,TypeD
171,Smartphone,Accessories,North,331.97,3,0.21,21-01-2024,110.6566667,36,1085,185.32,28,Customer_28,331.97,203.87,31.1,TypeA
172,Printer,Accessories,East,776.97,4,0.07,22-01-2024,194.2425,54,1046,252.16,1,Customer_1,776.97,487.89,17.2,TypeC
173,Monitor,Office Supplies,West,1822.97,4,0.1,23-01-2024,455.7425,87,1033,415.84,49,Customer_49,1822.97,272.49,-6.1,TypeA
174,Laptop,Office Supplies,West,617.05,3,0.22,24-01-2024,205.6833333,57,1064,174.25,45,Customer_45,617.05,239.01,37.8,TypeD
175,Laptop,Accessories,South,1330.61,3,0.19,25-01-2024,,1,1054,95.14,4,Customer_4,1330.61,120.14,2.3,TypeB
176,Tablet,Office Supplies,East,100.99,3,0.25,26-01-2024,33.66333333,63,1089,358.89,7,Customer_7,100.99,121.11,33,TypeC
177,Tablet,Electronics,East,769.88,4,0.2,27-01-2024,192.47,54,1042,414.73,49,Customer_49,769.88,376.8,-1.6,TypeA
178,Smartphone,Accessories,North,679.08,7,0.17,28-01-2024,97.01142857,55,1073,59.31,9,Customer_9,679.08,283.17,32.7,TypeA
179,Monitor,Electronics,East,412.85,4,0.03,29-01-2024,103.2125,40,1029,127.54,36,Customer_36,412.85,190.61,-9.3,TypeD
180,Monitor,Electronics,North,1114.77,9,0.11,30-01-2024,123.8633333,15,1081,79.57,19,Customer_19,1114.77,345.59,15.6,TypeC
181,Tablet,Accessories,East,1021.18,1,0.08,31-01-2024,1021.18,21,1016,180.49,1,Customer_1,1021.18,201.14,28.5,TypeB
182,Monitor,Office Supplies,South,1415.63,8,0.07,01-02-2024,176.95375,47,1025,230.67,10,Customer_10,1415.63,331.05,36.7,TypeD
183,Monitor,Electronics,East,611.88,7,0.29,02-02-2024,87.41142857,73,1007,376.92,36,Customer_36,611.88,243.68,35.5,TypeC
184,Laptop,Accessories,North,563.84,2,0.12,03-02-2024,281.92,53,1046,329.06,9,Customer_9,563.84,429.42,31,TypeA
185,Tablet,Electronics,North,419.75,8,0.27,04-02-2024,52.46875,9,1075,314.25,45,Customer_45,419.75,428.28,34.4,TypeD
186,Printer,Electronics,South,515.65,1,0.19,05-02-2024,515.65,74,1090,182.66,46,Customer_46,515.65,290.94,0,TypeA
187,Tablet,Electronics,East,1160.39,9,0.24,06-02-2024,128.9322222,52,1071,422.31,42,Customer_42,1160.39,240.33,4.2,TypeA
188,Printer,Electronics,East,867.29,9,0.15,07-02-2024,96.36555556,57,1088,240.93,32,Customer_32,867.29,245.02,4.4,TypeD
189,Laptop,Office Supplies,South,223.3,2,0.17,08-02-2024,111.65,26,1045,489.76,32,Customer_32,223.3,422.29,8.9,TypeD
190,Smartphone,Electronics,East,582.44,7,0.15,09-02-2024,83.20571429,41,1067,320.73,6,Customer_6,582.44,231.27,9.7,TypeD
191,Monitor,Electronics,East,569.06,3,0.06,10-02-2024,189.6866667,35,1032,71.87,48,Customer_48,569.06,183.62,17.2,TypeD
192,Laptop,Electronics,North,1422.98,7,0.22,11-02-2024,203.2828571,63,1000,341.33,38,Customer_38,1422.98,133.88,-2,TypeD
193,Monitor,Office Supplies,East,1453.31,9,0.08,12-02-2024,161.4788889,25,1018,169.3,17,Customer_17,1453.31,286.68,24.6,TypeA
194,Smartphone,Electronics,East,381.37,4,0.01,13-02-2024,95.3425,90,1030,346.3,10,Customer_10,381.37,292.85,-1.6,TypeB
